L	H
179	263
82	140
168	231
115	9
33	25
197	86
130	112
266	87
181	65
38	21
194	42
252	205
141	200
35	133
122	161
135	276
226	118
54	271
59	220
136	244
259	18
170	45
6	148
4	151
253	149
166	71
5	22
69	63
157	239
246	228
273	261
267	258
17	29
88	94
174	191
138	176
109	129
172	188
66	64
99	96
213	241
203	233
201	229
202	232
279	281
177	208
120	145
134	171
206	235
214	257
132	167
23	41
101	128
278	270
195	223
243	169
238	146
28	160
12	31
49	117
250	164
137	150
34	247
186	190
98	248
91	175
56	2
93	39
90	230
68	106
27	274
209	60
62	124
24	40
48	222
121	127
256	225
182	163
245	211
3	1
43	14
103	104
142	116
114	105
67	46
36	13
55	15
204	193
199	185
178	158
189	180
265	236
154	131
76	47
85	80
192	183
237	198
77	51
8	11
58	16
249	216
173	156
218	268
210	262
53	73
26	7
79	111
224	269
152	240
57	92
159	251
125	212
108	165
81	113
119	184
102	147
95	144
32	52
207	254
84	126
30	37
61	97
143	219
