L	H
35	200
197	118
194	9
38	86
115	226
82	140
130	19
72	141
215	42
196	21
168	135
50	255
122	25
263	33
75	231
161	205
112	266
123	276
181	74
87	133
5	4
253	259
242	228
20	6
151	71
107	59
187	155
69	22
271	260
246	244
227	170
45	18
153	136
277	272
100	54
220	157
149	70
166	148
239	221
110	63
171	132
206	232
23	17
261	278
188	167
174	138
201	177
29	41
258	273
120	99
64	66
195	172
203	229
96	88
101	94
223	267
208	233
241	270
213	235
281	279
134	129
176	145
202	191
214	257
128	109
90	56
150	98
2	62
250	222
121	12
91	78
137	160
10	162
248	93
60	247
34	24
124	31
146	39
40	27
49	127
238	230
164	28
243	274
169	234
264	186
190	275
89	217
117	48
139	68
175	106
83	209
103	67
189	116
1	77
265	192
142	13
104	85
182	158
3	163
256	114
15	236
8	16
156	47
185	51
11	36
14	154
225	204
193	43
245	237
198	216
280	173
211	249
76	180
105	58
183	80
199	131
46	178
7	26
218	251
207	212
30	37
97	111
73	92
125	143
52	61
224	254
210	219
165	147
32	53
102	113
268	269
57	84
159	144
81	108
119	126
184	152
240	262
79	95
